record_id,td
17,98.25
20,391.25
55,59.1875
59,22.8125
60,85.1875
69,86.8125
83,163.9375
84,404.5625
85,312.5
89,582.125
91,260.9375
95,143.4375
97,200.8125
110,360.4375
111,211.375
113,51.75
116,64.8125
120,93.625
123,187.5625
124,73.25
126,355.9375
127,184.875
129,38.5
130,36.5625
134,28.9375
144,103.5625
145,262.125
158,45.9375
161,100.0625
194,251.75
204,53.25
227,351.25
228,20.5625
230,451.125
282,180.25
300,887.6875
311,399.9375
314,301.8125
338,250.25
346,96.9375
409,254.8125
421,40.3125
437,28.625
449,60.375
465,21.4375
473,103.9375
496,76.8125
500,57.5625
517,291.4375
563,108.25
567,453.125
575,189.875
584,120.75
629,112.6875
718,328.0
741,239.0
760,279.8125
765,679.25
772,114.5
779,90.375
786,297.375
829,130.875
878,405.375
968,113.3125
984,106.375
992,62.9375
994,96.4375
998,94.75
1010,394.5625
1032,113.0
1037,122.125
1043,92.125
1060,406.8125
1112,638.9375
1507,199.6875
1534,52.5625
1575,289.5625
1579,289.125
1658,57.6875
1663,183.1875
1673,117.375
1688,86.4375
1739,98.0625
1753,171.5
1829,187.625
1846,484.0625
