record_id,td
17,71.0
20,312.75
55,20.375
59,13.5625
60,42.375
69,72.0
83,143.5
84,251.75
85,237.25
89,356.0625
91,198.8125
95,135.875
97,196.625
110,238.0625
111,170.875
113,46.875
116,43.0
120,60.625
123,154.25
124,70.875
126,228.0625
127,105.625
129,17.375
130,43.5
134,45.9375
144,104.0
145,204.375
158,23.75
161,106.125
194,200.5625
204,22.25
227,217.0
228,19.0625
230,360.5
282,126.5625
300,955.375
311,478.875
314,335.4375
338,220.0625
346,81.3125
409,213.375
421,13.125
437,12.5625
449,69.5625
465,16.1875
473,88.75
496,52.25
500,39.3125
517,218.875
563,48.25
567,469.375
575,159.5
584,93.8125
629,112.375
718,268.0
741,195.375
760,308.1875
765,474.875
772,114.6875
779,76.5
786,275.4375
829,143.4375
878,353.0
968,111.375
984,76.0625
992,40.0
994,71.875
998,70.375
1010,330.0
1032,89.4375
1037,82.0625
1043,58.8125
1060,278.4375
1112,597.875
1507,173.625
1534,25.125
1575,247.4375
1579,138.0625
1658,56.375
1663,124.5
1673,135.0
1688,56.6875
1739,78.0625
1753,170.0
1829,242.375
1846,383.625
